
Root grid = 8 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 8
Number of logical  levels of refinement = 3 (4 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=3.171734e+03 cycle=88900 time=7.502015e+00 dt=7.819068e-05
elapsed=3.182606e+03 cycle=89000 time=7.509732e+00 dt=7.680245e-05
elapsed=3.193503e+03 cycle=89100 time=7.517358e+00 dt=7.431650e-05
elapsed=3.204398e+03 cycle=89200 time=7.524335e+00 dt=6.471067e-05
elapsed=3.215304e+03 cycle=89300 time=7.531710e+00 dt=8.412772e-05
elapsed=3.226223e+03 cycle=89400 time=7.540121e+00 dt=8.300458e-05
elapsed=3.237120e+03 cycle=89500 time=7.548313e+00 dt=8.163171e-05
elapsed=3.248051e+03 cycle=89600 time=7.556928e+00 dt=8.955738e-05
elapsed=3.258977e+03 cycle=89700 time=7.565802e+00 dt=8.795592e-05
elapsed=3.269909e+03 cycle=89800 time=7.574324e+00 dt=8.224929e-05
elapsed=3.280824e+03 cycle=89900 time=7.582475e+00 dt=8.040664e-05
elapsed=3.291751e+03 cycle=90000 time=7.590524e+00 dt=7.908101e-05
elapsed=3.302632e+03 cycle=90100 time=7.598250e+00 dt=7.966121e-05
elapsed=3.313535e+03 cycle=90200 time=7.606453e+00 dt=8.309726e-05
elapsed=3.324452e+03 cycle=90300 time=7.614643e+00 dt=8.082720e-05
elapsed=3.335361e+03 cycle=90400 time=7.622700e+00 dt=7.999917e-05
elapsed=3.346272e+03 cycle=90500 time=7.630673e+00 dt=7.952348e-05
elapsed=3.357158e+03 cycle=90600 time=7.638712e+00 dt=8.186857e-05
elapsed=3.368084e+03 cycle=90700 time=7.647093e+00 dt=8.629274e-05
elapsed=3.379004e+03 cycle=90800 time=7.656125e+00 dt=9.448092e-05
elapsed=3.389934e+03 cycle=90900 time=7.665692e+00 dt=9.506282e-05
elapsed=3.400874e+03 cycle=91000 time=7.675071e+00 dt=9.464379e-05
elapsed=3.411812e+03 cycle=91100 time=7.684418e+00 dt=9.525609e-05
elapsed=3.422756e+03 cycle=91200 time=7.693971e+00 dt=9.568005e-05
elapsed=3.433696e+03 cycle=91300 time=7.703358e+00 dt=9.125048e-05
elapsed=3.444639e+03 cycle=91400 time=7.712212e+00 dt=8.595633e-05
elapsed=3.455577e+03 cycle=91500 time=7.720552e+00 dt=8.373009e-05
elapsed=3.466488e+03 cycle=91600 time=7.728901e+00 dt=8.557888e-05
